"FID";"OBJECTID";"AmbulanceR";"BikeAge_Gr";"Bike_Age";"Bike_Alc_D";"Bike_Dir";"Bike_Injur";"Bike_Pos";"Bike_Race";"Bike_Sex";"City";"County";"CrashAlcoh";"CrashDay";"Crash_Date";"Crash_Grp";"Crash_Hour";"Crash_Loc";"Crash_Mont";"Crash_Time";"Crash_Type";"Crash_Ty_1";"Crash_Year";"Crsh_Sevri";"Developmen";"DrvrAge_Gr";"Drvr_Age";"Drvr_Alc_D";"Drvr_EstSp";"Drvr_Injur";"Drvr_Race";"Drvr_Sex";"Drvr_VehTy";"ExcsSpdInd";"Hit_Run";"Light_Cond";"Locality";"Num_Lanes";"Num_Units";"Rd_Charact";"Rd_Class";"Rd_Conditi";"Rd_Config";"Rd_Defects";"Rd_Feature";"Rd_Surface";"Region";"Rural_Urba";"Speed_Limi";"Traff_Cntr";"Weather";"Workzone_I";"Location"
"789";76;77;"Yes";"25-29";29;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Morganton";"Burke";"No";"01-01-04";2008-01-31;"Motorist Failed to Yield - Midblock";20;"Non-Intersection";NA;1-01-01 20:43:58;"Motorist Drive Out - Midblock -";311329;2008;"C: Possible Injury";"Residential";"30-39";37;"No";"6-10 mph";"O: No Injury";"Black";"Male";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Grade";"Local Street";"Wet";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Mountains";"Urban";"30 - 35  MPH";"No Control Present";"Rain";"No";"0.0, 0.0"
"790";85;86;"Yes";"50-59";56;"Yes";"With Traffic";"C: Possible Injury";"Bike Lane / Paved Shoulder";"Black";"Male";"Morehead City";"Carteret";"Yes";"01-01-07";2008-02-03;"Bicyclist Left Turn / Merge";18;"Non-Intersection";"01-02-01";1-01-01 18:45:58;"Bicyclist Left Turn - Same Direction";321221;2008;"C: Possible Injury";"Commercial";"60-69";67;"No";"36-40 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"US Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"0.0, 0.0"
"791";95;96;"No";"16-19";16;"No";"Facing Traffic";"A: Disabling Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Winston-Salem";"Forsyth";"No";"01-01-03";2008-02-06;"Bicyclist Failed to Yield - Sign-Controlled Intersection";19;"Intersection";"01-02-01";1-01-01 19:11:58;"Bicyclist Ride Out - Sign-Controlled Intersection";132142;2008;"A: Disabling Injury";"Residential";"40-49";43;"No";"26-30 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Grade";"Local Street";"Water (Standing, Moving)";"One-Way, Not Divided";"Road Surface Condition";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop Sign";"Rain";"No";"0.0, 0.0"
"792";98;99;"Yes";"20-24";24;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Caldwell";"No";"01-01-04";2008-02-07;"Motorist Overtaking Bicyclist";15;"Non-Intersection";"01-02-01";1-01-01 15:14:58;"Motorist Overtaking - Other /";311239;2008;"B: Evident Injury";"Farms, Woods, Pastures";NA;NA;"Missing";"31-35 mph";"Injury";"/Missing";NA;NA;"No";"Yes";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Curve - Grade";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Mountains";"Rural";"30 - 35  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"0.0, 0.0"
"793";101;102;"No";"50-59";52;"No";"Facing Traffic";"B: Evident Injury";"Sidewalk / Crosswalk / Driveway Crossing";"White";"Male";"High Point";"Guilford";"No";"01-01-06";2008-02-09;"Motorist Failed to Yield - Midblock";13;"Non-Intersection";"01-02-01";1-01-01 13:43:58;"Motorist Drive Out - Commercial Driveway / Alley";332322;2008;"B: Evident Injury";"Commercial";"30-39";38;"No";"0-5 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Private Road, Driveway";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Concrete";"Piedmont";"Urban";"5 - 15 MPH";"No Control Present";"Clear";"No";"0.0, 0.0"
"794";105;106;"Yes";"16-19";16;"No";"Facing Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"High Point";"Guilford";"No";"01-01-07";2008-02-10;"Motorist Failed to Yield - Sign-Controlled Intersection";17;"Intersection";"01-02-01";1-01-01 17:56:58;"Motorist Drive Out - Sign-Controlled Intersection";112141;2008;"C: Possible Injury";"Residential";"20-24";24;"No";"0-5 mph";"O: No Injury";"White";"Male";"Sport Utility";"No";"No";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Related To Intersection";"Coarse Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"0.0, 0.0"
"795";108;109;"No";"40-49";47;"No";"With Traffic";"O: No Injury";"Travel Lane";"White";"Female";"None - Rural Crash";"Orange";"No";"01-01-05";2008-02-15;"Motorist Overtaking Bicyclist";13;"Non-Intersection";"01-02-01";1-01-01 13:44:58;"Motorist Overtaking - Misjudged Space";311232;2008;"O: No Injury";"Residential";NA;NA;"Missing";"41-45 mph";"Injury";"/Missing";NA;NA;"No";"Yes";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Rural";"40 - 45  MPH";"Missing";"Clear";"No";"0.0, 0.0"
"796";111;112;"No";"40-49";48;"No";"Facing Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"Fayetteville";"Cumberland";"No";"01-01-06";2008-02-16;"Head-On";10;"Intersection";"01-02-01";1-01-01 10:21:58;"Head-On - Bicyclist";112250;2008;"C: Possible Injury";"Commercial";"30-39";35;"No";"6-10 mph";"O: No Injury";"Black";"Female";"Sport Utility";"No";"No";"Daylight";"Urban (>70% Developed)";"5 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"40 - 45  MPH";"Stop And Go Signal";"Clear";"No";"0.0, 0.0"
"797";121;122;"Yes";"30-39";30;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Craven";"No";"01-01-05";2008-02-22;"Bicyclist Left Turn / Merge";16;"Non-Intersection";"01-02-01";1-01-01 16:32:58;"Bicyclist Left Turn - Same Direction";311221;2008;"B: Evident Injury";"Residential";"70+";NA;"No";"36-40 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Rural";"40 - 45  MPH";"Missing";"Cloudy";"No";"0.0, 0.0"
"798";132;133;"Yes";"30-39";30;"No";"Facing Traffic";"B: Evident Injury";"Travel Lane";"Hispanic";"Female";"Charlotte";"Mecklenburg";"No";"01-01-04";2008-05-01;"Head-On";15;"Intersection";"01-05-01";1-01-01 15:54:58;"Head-On - Bicyclist";112250;2008;"B: Evident Injury";"Institutional";"30-39";36;"No";"11-15 mph";"O: No Injury";"Other";"Female";"Passenger Car";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;NA;"Local Street";"Dry";NA;"None";"No Special Feature";NA;"Piedmont";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"0.0, 0.0"
"799";144;145;"Yes";"10-Jun";8;"No";"Not Applicable";"C: Possible Injury";"Non-Roadway";"White";"Female";"Greensboro";"Guilford";"No";NA;2008-03-03;"Non-Roadway";18;"Non-Roadway";"01-03-01";1-01-01 18:56:58;"Non-Roadway";460910;2008;"C: Possible Injury";"Residential";NA;NA;"No";NA;"Injury";"/Missing";NA;NA;"No";"Yes";"Dusk";"Urban (>70% Developed)";NA;2;"Curve - Hillcrest";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Coarse Asphalt";"Piedmont";"Urban";NA;"Missing";"Clear";"No";"0.0, 0.0"
"800";152;153;"Yes";"40-49";43;"Yes";"With Traffic";"A: Disabling Injury";"Travel Lane";"Black";"Male";"Rocky Mount";"Nash";"Yes";"01-01-05";2008-03-07;"Motorist Overtaking Bicyclist";20;"Intersection";"01-03-01";1-01-01 20:06:58;"Motorist Overtaking - Other /";111239;2008;"A: Disabling Injury";"Commercial";NA;NA;"Missing";"41-45 mph";"Injury";"/Missing";NA;NA;"No";"Yes";"Dark - Lighted Roadway";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"Local Street";"Wet";"Two-Way, Divided, Unprotected Median";"None";"T-Intersection";"Smooth Asphalt";"Coastal";"Urban";"40 - 45  MPH";"Stop Sign";"Rain";"No";"0.0, 0.0"
"801";670;671;"No";"70+";NA;"No";"With Traffic";"B: Evident Injury";"Sidewalk / Crosswalk / Driveway Crossing";"White";"Male";"Fayetteville";"Cumberland";"No";"01-01-05";2011-09-23;"Motorist Left Turn / Merge";21;"Non-Intersection";"01-09-01";1-01-01 21:16:58;"Motorist Left Turn - Opposite Direction";331212;2011;"B: Evident Injury";"Commercial";NA;NA;"Missing";NA;"Injury";"/Missing";NA;NA;"No";"Yes";"Dark - Lighted Roadway";"Urban (>70% Developed)";"7 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Coarse Asphalt";"Coastal";"Urban";NA;"No Control Present";"Clear";"No";"35.04407, -78.9428"
"802";675;676;"Yes";"20-24";21;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Wake";"No";"01-01-07";2011-10-02;"Motorist Overtaking Bicyclist";19;"Non-Intersection";"01-10-01";1-01-01 19:55:58;"Motorist Overtaking - Misjudged Space";311232;2011;"C: Possible Injury";"Farms, Woods, Pastures";NA;NA;"No";"41-45 mph";"Injury";"/Missing";NA;"Pickup";"No";"Yes";"Dark - Roadway Not Lighted";"Rural (<30% Developed)";"2 lanes";2;"Straight - Grade";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Rural";"40 - 45  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"35.76887, -78.6492"
"803";676;677;"No";"16-19";18;"No";"With Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Rocky Mount";"Nash";"No";"01-01-03";2011-08-10;"Motorist Failed to Yield - Midblock";14;"Non-Intersection";"01-08-01";1-01-01 14:21:58;"Motorist Drive Out - Commercial Driveway / Alley";331322;2011;"C: Possible Injury";"Commercial";"30-39";30;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"Driveway, Private";"Smooth Asphalt";"Coastal";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.94423, -77.7965"
"804";677;678;"No";"50-59";50;"No";"Facing Traffic";"B: Evident Injury";"Sidewalk / Crosswalk / Driveway Crossing";"White";"Male";"Raleigh";"Wake";"No";"01-01-02";2011-09-27;"Motorist Failed to Yield - Midblock";12;"Non-Intersection";"01-09-01";1-01-01 12:21:58;"Motorist Drive Out - Commercial Driveway / Alley";332322;2011;"B: Evident Injury";"Commercial";"25-29";29;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";NA;2;"Straight - Level";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Concrete";"Piedmont";"Urban";"5 - 15 MPH";"No Control Present";"Clear";"No";"35.78458, -78.6942"
"805";679;680;"Yes";"50-59";52;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Martin";"No";NA;2011-09-12;"Bicyclist Left Turn / Merge";7;"Non-Intersection";"01-09-01";1-01-01 07:41:58;"Bicyclist Left Turn - Same Direction";311221;2011;"B: Evident Injury";"Farms, Woods, Pastures";"0-19";16;"No";"51-55 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"50 - 55  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"35.76044, -77.1542"
"806";680;681;"No";"60-69";64;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Charlotte";"Mecklenburg";"No";"01-01-02";2011-09-27;"Motorist Failed to Yield - Sign-Controlled Intersection";22;"Intersection";"01-09-01";1-01-01 22:58:58;"Motorist Drive Out - Sign-Controlled Intersection";111141;2011;"C: Possible Injury";"Commercial";"40-49";41;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Wet";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"Stop Sign";"Rain";"No";"35.17949, -81.02"
"807";689;690;"Yes";"20-24";20;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"Wilmington";"New Hanover";"No";"01-01-04";2011-09-29;"Motorist Failed to Yield - Sign-Controlled Intersection";13;"Intersection";"01-09-01";1-01-01 13:21:58;"Motorist Drive Out - Sign-Controlled Intersection";111141;2011;"C: Possible Injury";"Residential";NA;NA;"Missing";NA;"Injury";"/Missing";NA;"Passenger Car";"No";"Yes";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"34.2278, -77.9317"
"808";693;694;"No";"40-49";42;"No";"With Traffic";"O: No Injury";"Travel Lane";"Black";"Male";"Charlotte";"Mecklenburg";"No";"01-01-03";2011-09-28;"Bicyclist Left Turn / Merge";8;"Intersection";"01-09-01";1-01-01 08:02:58;"Bicyclist Left Turn - Same Direction";111221;2011;"O: No Injury";"Residential";"25-29";29;"No";"26-30 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.20021, -80.8892"
"809";708;709;"Yes";"20-24";23;"No";"Facing Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"Statesville";"Iredell";"No";"01-01-04";2011-10-06;"Bicyclist Failed to Yield - Signalized Intersection";14;"Intersection";"01-10-01";1-01-01 14:09:58;"Bicyclist Ride Out - Signalized  Intersection";112153;2011;"C: Possible Injury";"Commercial";"50-59";57;"No";NA;"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Positive Median Barrier";"None";"Four-Way Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Clear";"No";"35.79114, -80.861"
"810";714;715;"Yes";"20-24";23;"No";"With Traffic";"B: Evident Injury";"Bike Lane / Paved Shoulder";"White";"Female";"Chapel Hill";"Orange";"No";"01-01-07";2011-10-09;"Motorist Right Turn / Merge";20;"Intersection";"01-10-01";1-01-01 20:05:58;"Motorist Right Turn - Same Direction";121213;2011;"B: Evident Injury";"Residential";"20-24";21;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.90886, -79.0593"
"811";730;731;"Yes";"16-19";17;"No";"Facing Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Rocky Mount";"Nash";"No";"01-01-05";2011-10-14;"Motorist Failed to Yield - Sign-Controlled Intersection";19;"Intersection";"01-10-01";1-01-01 19:11:58;"Motorist Drive Out - Sign-Controlled Intersection";112141;2011;"B: Evident Injury";"Commercial";"30-39";34;"No";"0-5 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"35.93121, -77.8129"
"812";731;732;"No";NA;NA;"Missing";"Not Applicable";"Injury";"Non-Roadway";"/Missing";NA;"Rocky Mount";"Nash";"No";"01-01-07";2011-07-31;"Non-Roadway";2;"Non-Roadway";"01-07-01";1-01-01 02:56:58;"Non-Roadway";460910;2011;"O: No Injury";"Commercial";"20-24";22;"No";"0-5 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";NA;2;"Straight - Level";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"5 - 15 MPH";"No Control Present";"Clear";"No";"35.97766, -77.8035"
"813";738;739;"Yes";"40-49";46;"Yes";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Onslow";"Yes";"01-01-07";2011-10-23;"Motorist Overtaking Bicyclist";18;"Non-Intersection";"01-10-01";1-01-01 18:51:58;"Motorist Overtaking - Misjudged Space";311232;2011;"B: Evident Injury";"Farms, Woods, Pastures";"50-59";59;"No";"41-45 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Dark - Roadway Not Lighted";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Rural";"40 - 45  MPH";"No Control Present";"Clear";"No";"34.73552, -77.162"
"814";740;741;"Yes";"25-29";25;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Wayne";"No";"01-01-02";2011-10-25;"Bicyclist Left Turn / Merge";16;"Non-Intersection";"01-10-01";1-01-01 16:34:58;"Bicyclist Left Turn - Same Direction";311221;2011;"A: Disabling Injury";"Farms, Woods, Pastures";"0-19";19;"No";"41-45 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"40 - 45  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"35.31115, -78.0166"
"815";746;747;"Yes";"25-29";28;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Female";"Durham";"Durham";"No";"01-01-04";2011-10-27;"Bicyclist Left Turn / Merge";10;"Intersection";"01-10-01";1-01-01 10:01:58;"Bicyclist Left Turn - Same Direction";111221;2011;"C: Possible Injury";"Commercial";"60-69";68;"No";"11-15 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"36.00767, -78.9222"
"816";749;750;"Yes";"40-49";47;"No";"Not Applicable";"C: Possible Injury";"Travel Lane";"White";"Male";"Monroe";"Union";"No";"01-01-05";2011-10-14;"Bicyclist Failed to Yield - Midblock";14;"Non-Intersection";"01-10-01";1-01-01 14:04:58;"Bicyclist Ride Out - Other Midblock";313318;2011;"C: Possible Injury";"Commercial";"40-49";41;"No";"31-35 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"3 lanes";2;"Straight - Level";"US Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Coarse Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"34.98933, -80.532"
"817";761;762;"Yes";"25-29";27;"No";"Facing Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Charlotte";"Mecklenburg";"No";"01-01-05";2011-09-16;"Motorist Failed to Yield - Midblock";7;"Non-Intersection";"01-09-01";1-01-01 07:46:58;"Motorist Drive Out - Commercial Driveway / Alley";332322;2011;"C: Possible Injury";"Commercial";"40-49";41;"No";"0-5 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";NA;2;"Straight - Hillcrest";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"Other";"Driveway, Public";"Smooth Asphalt";"Piedmont";"Urban";"5 - 15 MPH";"No Control Present";"Clear";"No";"35.25868, -80.7851"
"818";766;767;"Yes";"60-69";64;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Winston-Salem";"Forsyth";"No";NA;2011-10-17;"Motorist Failed to Yield - Sign-Controlled Intersection";7;"Intersection";"01-10-01";1-01-01 07:06:58;"Motorist Drive Out - Sign-Controlled Intersection";111141;2011;"B: Evident Injury";"Commercial";"50-59";52;"No";"6-10 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Roadway Not Lighted";"Urban (>70% Developed)";"4 lanes";2;"Straight - Grade";"Local Street";"Dry";"Two-Way, Divided, Unprotected Median";"None";"Related To Intersection";"Coarse Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"36.10523, -80.235"
"819";767;768;"Yes";"40-49";48;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"White";"Female";"None - Rural Crash";"Forsyth";"No";"01-01-04";2011-11-03;"Bicyclist Left Turn / Merge";13;"Non-Intersection";"01-11-01";1-01-01 13:39:58;"Bicyclist Left Turn - Same Direction";311221;2011;"A: Disabling Injury";"Residential";"60-69";67;"No";"41-45 mph";"O: No Injury";"White";"Male";"Sport Utility";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Rural";"50 - 55  MPH";"No Control Present";"Clear";"No";"36.21164, -80.2832"
"820";773;774;"No";"70+";NA;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Male";"Fayetteville";"Cumberland";"No";"01-01-02";2011-10-25;"Motorist Overtaking Bicyclist";17;"Non-Intersection";"01-10-01";1-01-01 17:11:58;"Motorist Overtaking - Bicyclist Swerved";311235;2011;"B: Evident Injury";"Commercial";"50-59";50;"No";"0-5 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Daylight";"Urban (>70% Developed)";"7 lanes";2;"Straight - Grade";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"35.04343, -78.952"
"821";774;775;"No";"40-49";42;"No";"With Traffic";"C: Possible Injury";"Bike Lane / Paved Shoulder";"White";"Male";"Charlotte";"Mecklenburg";"No";"01-01-02";2011-10-25;"Motorist Left Turn / Merge";18;"Intersection";"01-10-01";1-01-01 18:26:58;"Motorist Left Turn - Opposite Direction";121212;2011;"C: Possible Injury";"Residential";"70+";NA;"No";"36-40 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Dusk";"Urban (>70% Developed)";"1 lane";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Positive Median Barrier";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"35.11932, -80.8078"
"822";776;777;"Yes";"40-49";47;"No";"Facing Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Fayetteville";"Cumberland";"No";"01-01-04";2011-10-27;"Motorist Failed to Yield - Sign-Controlled Intersection";16;"Intersection";"01-10-01";1-01-01 16:06:58;"Motorist Drive Out - Sign-Controlled Intersection";132141;2011;"C: Possible Injury";"Commercial";"50-59";50;"No";NA;"O: No Injury";"Native American";"Female";"Sport Utility";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"35.05684, -78.881"
"823";778;779;"No";"20-24";21;"No";"Facing Traffic";"C: Possible Injury";"Bike Lane / Paved Shoulder";"Black";"Male";"Asheboro";"Randolph";"No";NA;2011-10-17;"Head-On";13;"Non-Intersection";"01-10-01";1-01-01 13:53:58;"Head-On - Bicyclist";322250;2011;"C: Possible Injury";"Commercial";"60-69";69;"No";"6-10 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Daylight";"Urban (>70% Developed)";"3 lanes";2;"Straight - Grade";"NC Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.70798, -79.815"
"824";779;780;"No";"25-29";28;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Raleigh";"Wake";"No";"01-01-04";2011-10-27;"Bicyclist Overtaking Motorist";8;"Intersection-Related";"01-10-01";1-01-01 08:14:58;"Bicyclist Overtaking - Passing on Right";211241;2011;"C: Possible Injury";"Institutional";NA;NA;"Missing";NA;"Injury";"/Missing";NA;NA;"No";"Yes";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"No Control Present";"Clear";"No";"35.78515, -78.6756"
"825";780;781;"Yes";"15-Nov";15;"No";"Facing Traffic";"C: Possible Injury";"Travel Lane";"White";"Female";"Beaufort";"Carteret";"No";NA;2011-10-31;"Bicyclist Right Turn / Merge";18;"Non-Intersection";"01-10-01";1-01-01 17:59:58;"Bicyclist Right Turn - Same Direction";312223;2011;"C: Possible Injury";"Residential";"20-24";20;"No";"31-35 mph";"O: No Injury";"White";"Male";"Sport Utility";"No";"No";"Dawn";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Rural";"30 - 35  MPH";"No Control Present";"Clear";"No";"34.71263, -76.6533"
